"lon","lat","x","y"
-121.13,37,1.3244e+05,4.1029e+06
-121.14,37.005,1.3157e+05,4.1034e+06
-121.14,37.009,1.3159e+05,4.1039e+06
-121.14,37.013,1.3161e+05,4.1043e+06
-121.15,37.016,1.3074e+05,4.1047e+06
-121.15,37.022,1.3077e+05,4.1054e+06
-121.15,37.027,1.3079e+05,4.1059e+06
-121.16,37.031,1.2992e+05,4.1064e+06
-121.16,37.035,1.2994e+05,4.1069e+06
-121.16,37.039,1.2996e+05,4.1073e+06
-121.16,37.043,1.2998e+05,4.1077e+06
-121.17,37.046,1.291e+05,4.1081e+06
-121.17,37.049,1.2912e+05,4.1084e+06
-121.17,37.055,1.2915e+05,4.1091e+06
-121.17,37.058,1.2916e+05,4.1094e+06
-121.16,37.061,1.3007e+05,4.1097e+06
-121.16,37.064,1.3008e+05,4.1101e+06
-121.15,37.067,1.3098e+05,4.1104e+06
-121.15,37.07,1.31e+05,4.1107e+06
-121.15,37.074,1.3102e+05,4.1111e+06
-121.14,37.079,1.3193e+05,4.1117e+06
-121.14,37.084,1.3196e+05,4.1122e+06
-121.14,37.089,1.3198e+05,4.1128e+06
-121.14,37.095,1.3201e+05,4.1134e+06
-121.13,37.099,1.3292e+05,4.1138e+06
-121.13,37.097,1.3291e+05,4.1136e+06
-121.13,37.093,1.3289e+05,4.1132e+06
-121.12,37.085,1.3374e+05,4.1123e+06
-121.11,37.08,1.3461e+05,4.1117e+06
-121.11,37.076,1.3459e+05,4.1112e+06
-121.1,37.074,1.3547e+05,4.111e+06
-121.1,37.071,1.3545e+05,4.1106e+06
-121.09,37.068,1.3633e+05,4.1102e+06
-121.09,37.065,1.3631e+05,4.1099e+06
-121.09,37.062,1.363e+05,4.1096e+06
-121.08,37.058,1.3717e+05,4.1091e+06
-121.08,37.054,1.3715e+05,4.1087e+06
-121.07,37.05,1.3802e+05,4.1082e+06
-121.07,37.046,1.38e+05,4.1077e+06
-121.07,37.041,1.3798e+05,4.1072e+06
-121.07,37.036,1.3795e+05,4.1066e+06
-121.06,37.031,1.3882e+05,4.106e+06
-121.06,37.025,1.3879e+05,4.1054e+06
-121.07,37.021,1.3788e+05,4.105e+06
-121.08,37.02,1.3699e+05,4.1049e+06
-121.08,37.022,1.37e+05,4.1051e+06
-121.09,37.025,1.3612e+05,4.1055e+06
-121.09,37.026,1.3613e+05,4.1056e+06
-121.1,37.025,1.3523e+05,4.1055e+06
-121.11,37.023,1.3433e+05,4.1053e+06
-121.11,37.02,1.3432e+05,4.105e+06
-121.11,37.015,1.3429e+05,4.1044e+06
-121.11,37.01,1.3427e+05,4.1039e+06
-121.11,37.003,1.3424e+05,4.1031e+06
-121.11,37,1.3422e+05,4.1028e+06
NaN,NaN,NaN,NaN
-119.69,37,2.6063e+05,4.0983e+06
-119.69,37.004,2.6064e+05,4.0987e+06
-119.69,37.008,2.6066e+05,4.0991e+06
-119.68,37.011,2.6155e+05,4.0995e+06
-119.68,37.013,2.6156e+05,4.0997e+06
