"lon","lat","x","y"
NaN,NaN,NaN,NaN
-124.19,40.654,-1.0808e+05,4.5253e+06
-124.19,40.654,-1.0808e+05,4.5253e+06
-124.2,40.662,-1.0886e+05,4.5262e+06
-124.22,40.672,-1.1046e+05,4.5275e+06
-124.23,40.678,-1.1125e+05,4.5282e+06
-124.25,40.687,-1.1286e+05,4.5294e+06
-124.26,40.692,-1.1366e+05,4.53e+06
NaN,NaN,NaN,NaN
-124.16,40.64,-1.0567e+05,4.5235e+06
-124.16,40.642,-1.0565e+05,4.5237e+06
NaN,NaN,NaN,NaN
-124.13,40.617,-1.0334e+05,4.5207e+06
-124.13,40.617,-1.0334e+05,4.5207e+06
NaN,NaN,NaN,NaN
-124.13,40.617,-1.0334e+05,4.5207e+06
-124.13,40.617,-1.0334e+05,4.5207e+06
-124.13,40.618,-1.0333e+05,4.5209e+06
-124.14,40.624,-1.0412e+05,4.5216e+06
-124.16,40.637,-1.057e+05,4.5232e+06
-124.16,40.64,-1.0567e+05,4.5235e+06
NaN,NaN,NaN,NaN
-124.1,40.59,-1.0104e+05,4.5175e+06
-124.11,40.592,-1.0187e+05,4.5178e+06
-124.12,40.601,-1.0264e+05,4.5189e+06
-124.13,40.611,-1.0339e+05,4.5201e+06
-124.13,40.617,-1.0334e+05,4.5207e+06
NaN,NaN,NaN,NaN
-124.1,40.59,-1.0104e+05,4.5175e+06
-124.1,40.59,-1.0104e+05,4.5175e+06
NaN,NaN,NaN,NaN
-124.43,40.373,-1.3104e+05,4.4957e+06
-124.43,40.374,-1.3103e+05,4.4959e+06
-124.43,40.376,-1.3101e+05,4.4961e+06
-124.43,40.377,-1.3101e+05,4.4962e+06
-124.43,40.379,-1.3099e+05,4.4964e+06
-124.43,40.379,-1.3099e+05,4.4964e+06
NaN,NaN,NaN,NaN
-124.64,40.36,-1.4902e+05,4.4958e+06
-124.65,40.36,-1.4987e+05,4.4959e+06
NaN,NaN,NaN,NaN
-124.62,40.361,-1.4731e+05,4.4958e+06
-124.63,40.36,-1.4817e+05,4.4958e+06
NaN,NaN,NaN,NaN
-124.19,40.698,-1.0768e+05,4.5302e+06
-124.19,40.699,-1.0767e+05,4.5303e+06
NaN,NaN,NaN,NaN
-124,39.741,-1.0004e+05,4.4225e+06
