"lon","lat","x","y","UE","UN"
-116.16,31.257,5.7998e+05,3.4584e+06,-30.91,31.42
-115.47,31.045,6.46e+05,3.4356e+06,-31.27,30.01
-116.67,31.871,5.3121e+05,3.5262e+06,-28.71,30.51
-116.67,31.871,5.3121e+05,3.5262e+06,-29.24,29.84
-113.52,31.354,8.3108e+05,3.4741e+06,-1.52,1.74
-115.24,31.988,6.6627e+05,3.5405e+06,-24.01,26.93
-118.49,32.914,3.6067e+05,3.6427e+06,-30.72,33.13
-118.52,32.927,3.5788e+05,3.6442e+06,-29.69,34.86
-119.48,33.232,2.6891e+05,3.6797e+06,-30.29,35.09
-119.52,33.248,2.6522e+05,3.6816e+06,-31.16,34.61
-118.4,33.407,3.6982e+05,3.6973e+06,-28.57,33.35
-119.04,33.472,3.1044e+05,3.7055e+06,-30.6,34.74
-118.48,33.446,3.6244e+05,3.7017e+06,-28.96,32.62
-120.11,33.951,2.1258e+05,3.7611e+06,-30.34,35.71
-119.75,33.995,2.4599e+05,3.765e+06,-29.3,34.04
-119.78,34.029,2.4332e+05,3.7689e+06,-30.26,35.24
-118.4,33.744,3.7032e+05,3.7347e+06,-28.69,26.75
-118.4,33.743,3.7032e+05,3.7345e+06,-27.92,31.2
-118.34,33.747,3.7588e+05,3.7349e+06,-25.05,33.09
-118.29,33.713,3.8047e+05,3.7311e+06,-27.8,30.31
-118.27,33.72,3.8233e+05,3.7318e+06,-28.1,29.93
-118.37,33.779,3.7315e+05,3.7385e+06,-27.04,29.31
-118.32,33.774,3.7777e+05,3.7379e+06,-28.58,29.29
-118.35,33.797,3.7503e+05,3.7405e+06,-27.22,33.39
-118.33,33.798,3.7688e+05,3.7406e+06,-27.8,29.94
-118.2,33.788,3.889e+05,3.7393e+06,-30.96,29.38
-118.27,33.824,3.8247e+05,3.7434e+06,-25.96,28.86
-118.39,33.877,3.7145e+05,3.7494e+06,-28.66,32.55
-118.33,33.887,3.7701e+05,3.7504e+06,-26.75,28.99
-118.26,33.861,3.8345e+05,3.7475e+06,-27.91,27.66
-118.22,33.868,3.8716e+05,3.7482e+06,-25.9,29.01
-118.21,33.876,3.8809e+05,3.7491e+06,-22.75,28.91
